p	trips_min	trips_max	trips_mean	trips_med	trips_sd	succ_mean	succ_med	diag_mean	diag_med
0.16874	14	140	139.928	140	2.75496	0.000833333	6.3379e-11	1	1
0.16876	14	140	139.946	140	2.2736	0.000694444	3.1663e-08	0.999861	1
0.16878	14	140	139.944	140	2.23125	0.000555556	1.07667e-07	1	1
0.1688	14	140	139.953	140	1.97935	0.000833333	5.92544e-11	1	1
0.16882	14	140	139.946	140	2.35592	0.000555556	7.93968e-08	1	1
0.16884	14	140	139.963	140	1.90242	0.000694444	8.84982e-08	1	1
0.16886	126	140	139.992	140	0.329891	0.000138889	7.71177e-08	1	1
0.16888	42	140	139.961	140	1.54727	0.000416667	5.61946e-08	0.999861	1
0.1689	14	140	139.93	140	2.2491	0.00111111	2.7463e-10	0.999861	1
0.16892	14	140	139.94	140	2.46311	0.000555556	9.4746e-08	0.999722	1
0.16894	14	140	139.957	140	1.80689	0.000416667	5.70928e-08	0.999861	1
0.16896	42	140	139.957	140	1.83677	0.000555556	1.57592e-10	1	1
0.16898	42	140	139.959	140	1.65764	0.000694444	1.90296e-10	1	1
0.169	14	140	139.924	140	2.64393	0.000972222	6.90905e-11	1	1
0.16902	70	140	139.981	140	1.1665	0.000277778	5.71952e-11	1	1
0.16904	42	140	139.973	140	1.43811	0.000277778	7.71335e-08	1	1
0.16906	70	140	139.973	140	1.27773	0.000416667	6.90125e-08	1	1
0.16908	14	140	139.907	140	3.10289	0.000833333	9.93621e-10	0.999861	1
0.1691	14	140	139.932	140	2.51757	0.000555556	8.90865e-11	0.999861	1
0.16912	14	140	139.932	140	2.67485	0.000555556	1.23276e-08	1	1
0.16914	14	140	139.946	140	2.08629	0.000972222	1.83172e-10	0.999861	1
0.16916	14	140	139.951	140	2.0799	0.000555556	3.70462e-11	1	1
0.16918	70	140	139.961	140	1.39946	0.000555556	4.96031e-11	1	1
0.1692	126	140	139.988	140	0.403977	0.000416667	7.82851e-08	0.999861	1
0.16922	14	140	139.928	140	2.47383	0.000833333	2.7349e-11	1	1
0.16924	14	140	139.916	140	2.94566	0.000833333	3.27535e-10	1	1
0.16926	14	140	139.942	140	2.36736	0.000694444	4.77133e-08	1	1
0.16928	42	140	139.912	140	2.41767	0.00152778	2.93953e-10	0.999861	1
0.1693	42	140	139.961	140	1.66588	0.000694444	9.28841e-08	1	1
0.16932	14	140	139.901	140	2.9636	0.00111111	2.7196e-10	0.999861	1
0.16934	14	140	139.947	140	2.13151	0.000555556	5.67285e-10	1	1
0.16936	70	140	139.981	140	0.989759	0.000277778	9.62584e-08	1	1
0.16938	42	140	139.963	140	1.59069	0.000555556	1.09778e-07	1	1
0.1694	42	140	139.975	140	1.28838	0.000555556	5.54635e-08	1	1
0.16942	14	140	139.938	140	2.46858	0.000694444	7.9026e-08	1	1
0.16944	126	140	139.994	140	0.285714	0.000138889	1.04134e-07	1	1
0.16946	98	140	139.979	140	0.679941	0.000694444	4.78415e-08	1	1
0.16948	14	140	139.947	140	2.13151	0.000694444	6.37681e-11	1	1
0.1695	42	140	139.932	140	2.33817	0.000833333	2.3085e-08	1	1
0.16952	14	140	139.914	140	2.9869	0.000972222	1.22951e-10	1	1
0.16954	14	140	139.947	140	2.23135	0.000555556	2.24125e-10	1	1
0.16956	70	140	139.951	140	1.68996	0.000694444	3.06776e-08	1	1
0.16958	14	140	139.965	140	1.77667	0.000416667	1.01175e-07	1	1
0.1696	70	140	139.971	140	1.2883	0.000416667	1.93047e-10	0.999861	1
0.16962	14	140	139.93	140	2.6286	0.000694444	4.23085e-08	1	1
0.16964	14	140	139.946	140	2.413	0.000416667	8.17764e-08	0.999722	1
0.16966	14	140	139.932	140	2.59215	0.000694444	1.14803e-10	1	1
0.16968	14	140	139.961	140	2.11257	0.000416667	4.77034e-08	1	1
0.1697	14	140	139.914	140	2.77917	0.000833333	1.46211e-10	0.999861	1
0.16972	14	140	139.957	140	1.90944	0.000555556	9.98957e-11	1	1
0.16974	14	140	139.936	140	2.29124	0.000972222	4.14444e-10	1	1
0.16976	70	140	139.979	140	1.00338	0.000277778	2.37151e-08	0.999861	1
0.16978	14	140	139.938	140	2.28534	0.000694444	3.66523e-08	0.999722	1
0.1698	14	140	139.947	140	1.88769	0.000833333	1.73461e-10	0.999861	1
0.16982	14	140	139.951	140	2.2192	0.000416667	6.59422e-11	0.999861	1
0.16984	14	140	139.959	140	1.90234	0.000555556	9.58657e-08	1	1
0.16986	42	140	139.949	140	1.90925	0.000833333	8.28575e-11	1	1
0.16988	14	140	139.946	140	2.13784	0.000694444	2.38854e-11	0.999861	1
0.1699	42	140	139.957	140	1.74558	0.000833333	1.43525e-10	1	1
0.16992	14	140	139.922	140	2.63872	0.000833333	4.98877e-08	1	1
0.16994	14	140	139.94	140	2.40722	0.000694444	6.8399e-11	1	1
0.16996	42	140	139.971	140	1.37021	0.000416667	9.7583e-08	0.999861	1
0.16998	42	140	139.934	140	2.3324	0.000972222	1.76368e-11	0.999861	1
0.17	14	140	139.918	140	3.08563	0.000694444	9.46478e-08	1	1
0.17002	70	140	139.975	140	1.03006	0.000277778	9.18107e-08	0.999861	1
0.17004	14	140	139.967	140	1.72225	0.000277778	9.96255e-08	1	1
0.17006	14	140	139.951	140	2.0799	0.000555556	2.44332e-08	1	1
0.17008	70	140	139.981	140	0.903487	0.000277778	7.71346e-08	0.999861	1
0.1701	70	140	139.982	140	0.975946	0.000277778	7.71464e-08	1	1
0.17012	14	140	139.936	140	2.5499	0.000694444	7.82292e-11	1	1
0.17014	14	140	139.926	140	2.35539	0.00125	1.08564e-07	1	1
0.17016	14	140	139.949	140	2.03352	0.000833333	1.51219e-08	1	1
0.17018	14	140	139.936	140	2.29124	0.000833333	4.0656e-10	1	1
0.1702	14	140	139.922	140	2.64902	0.000972222	1.52891e-10	1	1
0.17022	42	140	139.959	140	1.67398	0.000416667	8.90009e-08	1	1
0.17024	42	140	139.947	140	2.02677	0.000694444	9.87286e-10	0.999861	1
0.17026	14	140	139.924	140	2.57085	0.000833333	1.11445e-10	0.999861	1
0.17028	42	140	139.969	140	1.38007	0.000694444	1.09452e-07	1	1
0.1703	14	140	139.949	140	2.03352	0.000694444	9.96793e-11	0.999861	1
0.17032	42	140	139.965	140	1.47531	0.000416667	2.24517e-08	0.999722	1
0.17034	126	140	139.998	140	0.16498	0	0	1	1
0.17036	70	140	139.971	140	1.22326	0.000555556	3.63372e-11	0.999861	1
0.17038	98	140	139.979	140	0.888249	0.000555556	1.75768e-10	1	1
0.1704	14	140	139.938	140	2.20038	0.000833333	4.27607e-08	0.999722	1
0.17042	14	140	139.961	140	1.74567	0.000694444	3.20729e-12	1	1
0.17044	14	140	139.946	140	2.2736	0.000555556	8.02876e-08	1	1
0.17046	14	140	139.901	140	3.0362	0.00111111	2.04172e-08	1	1
0.17048	14	140	139.967	140	1.72225	0.000555556	7.54151e-08	1	1
0.1705	14	140	139.963	140	1.78427	0.000416667	2.77101e-08	1	1
0.17052	14	140	139.969	140	1.71436	0.000277778	4.58566e-10	1	1
0.17054	14	140	139.918	140	2.72988	0.000972222	1.12615e-10	1	1
0.17056	14	140	139.965	140	1.73009	0.000416667	1.63535e-10	1	1
0.17058	98	140	139.986	140	0.59473	0.000277778	7.7162e-08	1	1
0.1706	42	140	139.969	140	1.45683	0.000416667	3.27583e-08	1	1
0.17062	14	140	139.959	140	1.79938	0.000416667	8.61941e-08	0.999861	1
0.17064	42	140	139.973	140	1.43811	0.000416667	8.11548e-08	1	1
0.17066	70	140	139.969	140	1.29877	0.000416667	1.0663e-07	1	1
0.17068	42	140	139.977	140	1.27781	0.000277778	7.71489e-08	1	1
0.1707	42	140	139.969	140	1.45683	0.000416667	7.49458e-08	1	1
0.17072	42	140	139.953	140	1.80679	0.000833333	3.13169e-11	0.999861	1
0.17074	14	140	139.944	140	2.1819	0.000833333	1.01583e-08	1	1
0.17076	14	140	139.959	140	1.91659	0.000555556	9.55064e-11	1	1
0.17078	14	140	139.895	140	3.28161	0.00138889	5.79502e-10	0.999861	1
0.1708	14	140	139.979	140	1.50299	0.000138889	8.25265e-08	0.999861	1
0.17082	14	140	139.963	140	1.62456	0.000555556	2.66945e-10	1	1
0.17084	14	140	139.967	140	1.55618	0.000277778	7.96704e-08	0.999861	1
0.17086	14	140	139.965	140	1.89529	0.000277778	1.07931e-07	1	1
0.17088	14	140	139.969	140	1.59935	0.000694444	1.09426e-07	1	1
0.1709	14	140	139.982	140	1.48482	0.000138889	7.71177e-08	1	1
0.17092	126	140	139.994	140	0.285714	0.000138889	7.71176e-08	1	1
0.17094	70	140	139.953	140	1.54705	0.000972222	1.16801e-10	1	1
0.17096	14	140	139.951	140	2.0799	0.000694444	9.71999e-08	0.999861	1
0.17098	14	140	139.944	140	2.27953	0.000833333	1.84032e-10	0.999861	1
0.171	14	140	139.936	140	2.10549	0.000972222	9.87472e-11	0.999861	1
0.17102	14	140	139.959	140	2.05372	0.000416667	5.47438e-10	1	1
0.17104	42	140	139.975	140	1.22335	0.000416667	9.76577e-08	1	1
0.17106	14	140	139.942	140	2.42417	0.000694444	2.15086e-11	1	1
0.17108	126	140	139.994	140	0.285714	0	0	1	1
0.1711	42	140	139.965	140	1.71429	0.000416667	7.85204e-08	1	1
0.17112	14	140	139.955	140	2.06685	0.000555556	5.85715e-08	1	1
0.17114	14	140	139.926	140	2.63883	0.000972222	4.21575e-11	1	1
0.17116	70	140	139.986	140	0.857213	0.000138889	7.70903e-08	1	1
0.17118	42	140	139.957	140	1.56466	0.000694444	1.62295e-08	1	1
0.1712	70	140	139.973	140	1.1187	0.000555556	4.85558e-08	1	1
0.17122	14	140	139.916	140	2.80361	0.000833333	6.93845e-08	1	1
0.17124	14	140	139.967	140	1.72225	0.000277778	7.71452e-08	0.999861	1
0.17126	42	140	139.932	140	2.2552	0.00111111	1.23946e-08	1	1
0.17128	42	140	139.951	140	1.91641	0.000555556	9.06147e-08	1	1
0.1713	42	140	139.953	140	1.85144	0.000694444	4.90007e-10	1	1
0.17132	70	140	139.977	140	1.01681	0.000277778	7.69523e-08	0.999861	1
0.17134	70	140	139.977	140	1.09418	0.000555556	5.72461e-08	1	1
0.17136	14	140	139.924	140	2.6848	0.000694444	7.44899e-08	0.999861	1
0.17138	14	140	139.932	140	2.59215	0.000972222	3.06879e-10	1	1
0.1714	42	140	139.924	140	2.30273	0.000972222	1.39631e-10	0.999861	1
0.17142	14	140	139.973	140	1.58231	0.000277778	7.71131e-08	1	1
0.17144	14	140	139.899	140	3.17207	0.000972222	6.69588e-08	0.999861	1
0.17146	14	140	139.883	140	3.25623	0.00138889	1.68634e-10	0.999722	1
0.17148	14	140	139.973	140	1.52983	0.000277778	7.71196e-08	1	1
0.1715	42	140	139.967	140	1.65782	0.000416667	9.91929e-08	0.999861	1
0.17152	14	140	139.953	140	2.17589	0.000555556	5.67353e-08	0.999722	1
0.17154	14	140	139.891	140	3.27318	0.00125	8.08553e-11	1	1
0.17156	14	140	139.944	140	2.01319	0.00111111	1.61306e-10	0.999444	1
0.17158	42	140	139.957	140	1.85153	0.000416667	8.96651e-08	1	1
0.1716	14	140	139.953	140	1.97935	0.000694444	2.60655e-12	0.999861	1
0.17162	14	140	139.924	140	2.6848	0.000972222	6.79415e-11	0.999861	1
0.17164	14	140	139.909	140	2.80337	0.00111111	1.43753e-10	1	1
0.17166	14	140	139.94	140	2.05324	0.000972222	1.84206e-10	1	1
0.17168	42	140	139.957	140	1.85153	0.000555556	1.84683e-08	1	1
0.1717	42	140	139.963	140	1.59069	0.000555556	8.32663e-08	1	1
0.17172	14	140	139.936	140	2.29124	0.000833333	9.79336e-11	1	1
0.17174	70	140	139.982	140	0.975946	0.000416667	3.99425e-08	1	1
0.17176	14	140	139.936	140	2.38439	0.000972222	1.55832e-08	1	1
0.17178	14	140	139.949	140	2.22528	0.000555556	7.37404e-08	0.999861	1
0.1718	14	140	139.944	140	2.14415	0.000833333	2.11573e-10	1	1
0.17182	14	140	139.953	140	1.92355	0.000555556	1.67661e-11	0.999861	1
0.17184	14	140	139.92	140	2.6023	0.00111111	6.49024e-11	1	1
0.17186	42	140	139.961	140	1.54727	0.000694444	5.64899e-10	1	1
0.17188	14	140	139.957	140	2.16342	0.000416667	1.1213e-10	0.999861	1
0.1719	14	140	139.971	140	1.59085	0.000416667	7.49532e-08	1	1
0.17192	14	140	139.932	140	2.30298	0.000972222	3.75407e-11	1	1
0.17194	14	140	139.959	140	1.90234	0.000416667	7.86868e-08	0.999861	1
0.17196	42	140	139.961	140	1.83686	0.000416667	1.03714e-07	1	1
0.17198	98	140	139.984	140	0.617146	0.000277778	7.66364e-08	1	1
0.172	14	140	139.963	140	1.7379	0.000277778	7.71254e-08	1	1
0.17202	14	140	139.922	140	2.40105	0.000972222	1.37736e-11	1	1
0.17204	42	140	139.959	140	1.78419	0.000694444	1.43913e-08	1	1
0.17206	126	140	139.996	140	0.233301	0.000138889	7.71176e-08	1	1
0.17208	14	140	139.953	140	1.97935	0.000555556	1.0656e-07	1	1
0.1721	14	140	139.982	140	1.48482	0.000138889	7.70902e-08	1	1
0.17212	126	140	139.994	140	0.285714	0.000416667	1.39105e-11	1	1
0.17214	14	140	139.975	140	1.57372	0.000277778	1.05561e-07	1	1
0.17216	42	140	139.973	140	1.29886	0.000277778	7.69629e-08	1	1
0.17218	98	140	139.992	140	0.521691	0.000138889	7.71176e-08	1	1
0.1722	14	140	139.953	140	1.96555	0.000555556	5.03281e-08	0.999861	1
0.17222	14	140	139.947	140	2.23135	0.000555556	2.75552e-11	0.999861	1
0.17224	42	140	139.981	140	1.18961	0.000277778	7.70925e-08	1	1
0.17226	14	140	139.953	140	2.17589	0.000694444	8.61933e-08	1	1
0.17228	14	140	139.977	140	1.51199	0.000138889	2.0406e-10	1	1
0.1723	42	140	139.975	140	1.42865	0.000277778	8.02545e-08	1	1
0.17232	42	140	139.981	140	1.18961	0.000138889	7.71177e-08	0.999861	1
0.17234	70	140	139.967	140	1.30916	0.000555556	1.07727e-10	0.999861	1
0.17236	14	140	139.942	140	2.3326	0.000694444	9.07963e-08	0.999861	1
0.17238	14	140	139.934	140	2.20027	0.00111111	9.34437e-11	1	1
0.1724	42	140	139.955	140	1.90225	0.000555556	1.04607e-07	0.999861	1
0.17242	14	140	139.963	140	2.10615	0.000277778	9.48262e-08	1	1
0.17244	126	140	139.996	140	0.233301	0	0	1	1
0.17246	70	140	139.984	140	0.872915	0.000277778	7.70383e-08	0.999861	1
0.17248	70	140	139.984	140	0.872915	0.000277778	1.09574e-07	0.999861	1
0.1725	98	140	139.988	140	0.571429	0.000277778	1.09834e-07	0.999861	1
0.17252	14	140	139.955	140	2.16966	0.000416667	8.38503e-08	1	1
0.17254	14	140	139.963	140	1.7379	0.000555556	5.88629e-08	0.999861	1
0.17256	14	140	139.946	140	2.2736	0.000694444	7.54006e-11	0.999861	1
0.17258	14	140	139.961	140	1.79185	0.000555556	2.25352e-10	0.999861	1
0.1726	14	140	139.942	140	2.24943	0.000694444	1.07795e-07	0.999861	1
